pelvis_qw,pelvis_qx,pelvis_qy,pelvis_qz,left_hip_roll_link_qw,left_hip_roll_link_qx,left_hip_roll_link_qy,left_hip_roll_link_qz,left_knee_link_qw,left_knee_link_qx,left_knee_link_qy,left_knee_link_qz,left_ankle_roll_link_qw,left_ankle_roll_link_qx,left_ankle_roll_link_qy,left_ankle_roll_link_qz,right_hip_roll_link_qw,right_hip_roll_link_qx,right_hip_roll_link_qy,right_hip_roll_link_qz,right_knee_link_qw,right_knee_link_qx,right_knee_link_qy,right_knee_link_qz,right_ankle_roll_link_qw,right_ankle_roll_link_qx,right_ankle_roll_link_qy,right_ankle_roll_link_qz,torso_link_qw,torso_link_qx,torso_link_qy,torso_link_qz,left_shoulder_roll_link_qw,left_shoulder_roll_link_qx,left_shoulder_roll_link_qy,left_shoulder_roll_link_qz,left_elbow_link_qw,left_elbow_link_qx,left_elbow_link_qy,left_elbow_link_qz,left_wrist_yaw_link_qw,left_wrist_yaw_link_qx,left_wrist_yaw_link_qy,left_wrist_yaw_link_qz,right_shoulder_roll_link_qw,right_shoulder_roll_link_qx,right_shoulder_roll_link_qy,right_shoulder_roll_link_qz,right_elbow_link_qw,right_elbow_link_qx,right_elbow_link_qy,right_elbow_link_qz,right_wrist_yaw_link_qw,right_wrist_yaw_link_qx,right_wrist_yaw_link_qy,right_wrist_yaw_link_qz
0.669490,0.113002,0.097048,-0.727733,0.625986,-0.282968,-0.378642,-0.620242,0.709670,0.218314,0.098914,-0.662513,0.715681,-0.021439,0.013396,-0.697970,0.568005,-0.388005,-0.290332,-0.665229,0.625422,0.131536,0.188562,-0.745647,0.651878,0.017184,-0.007117,-0.758096,0.605748,0.276249,0.288262,-0.688230,0.594691,0.081332,0.011572,-0.799746,0.490984,0.170578,0.073562,-0.851133,0.589631,0.227092,0.048417,-0.773576,0.737397,0.012364,0.044541,-0.673876,0.831817,0.063072,0.109002,-0.540575,0.731976,-0.031059,0.198340,-0.651082
0.669575,0.113100,0.097181,-0.727622,0.626135,-0.282753,-0.378398,-0.620339,0.709642,0.218377,0.099055,-0.662501,0.715685,-0.021183,0.013198,-0.697977,0.568208,-0.387772,-0.289941,-0.665362,0.625364,0.131611,0.188675,-0.745654,0.651854,0.017137,-0.007039,-0.758118,0.605881,0.276641,0.288048,-0.688045,0.594724,0.081774,0.011499,-0.799677,0.491058,0.171433,0.073789,-0.850898,0.589070,0.227040,0.047617,-0.774069,0.737405,0.013009,0.044261,-0.673874,0.831685,0.063492,0.108339,-0.540862,0.731716,-0.030742,0.197150,-0.651751
0.669591,0.113173,0.097318,-0.727578,0.626284,-0.282486,-0.378117,-0.620481,0.709607,0.218422,0.099166,-0.662507,0.715670,-0.021089,0.013137,-0.697996,0.568407,-0.387518,-0.289551,-0.665510,0.625323,0.131642,0.188747,-0.745665,0.651834,0.017104,-0.006977,-0.758137,0.606009,0.276992,0.287855,-0.687872,0.594762,0.082107,0.011411,-0.799616,0.491048,0.172176,0.073982,-0.850738,0.588416,0.226885,0.046927,-0.774653,0.737419,0.013618,0.043970,-0.673865,0.831542,0.063878,0.107676,-0.541168,0.731415,-0.030304,0.195934,-0.652475
0.669470,0.113193,0.097464,-0.727666,0.626437,-0.282114,-0.377762,-0.620713,0.709557,0.218429,0.099219,-0.662551,0.715619,-0.021319,0.013352,-0.698037,0.568599,-0.387222,-0.289162,-0.665687,0.625316,0.131590,0.188740,-0.745682,0.651823,0.017098,-0.006948,-0.758147,0.606127,0.277262,0.287703,-0.687723,0.594810,0.082223,0.011296,-0.799571,0.490869,0.172693,0.074107,-0.850725,0.587583,0.226523,0.046458,-0.775420,0.737447,0.014154,0.043656,-0.673844,0.831379,0.064195,0.107011,-0.541513,0.731037,-0.029623,0.194662,-0.653310
0.669270,0.113361,0.097622,-0.727803,0.626547,-0.281605,-0.377381,-0.621065,0.709521,0.218381,0.099236,-0.662602,0.715577,-0.021479,0.013455,-0.698074,0.568720,-0.386871,-0.288760,-0.665963,0.625301,0.131465,0.188636,-0.745742,0.651781,0.016978,-0.006808,-0.758187,0.606203,0.277621,0.287620,-0.687546,0.594825,0.082421,0.011172,-0.799541,0.490758,0.173149,0.074149,-0.850693,0.586081,0.225219,0.046512,-0.776931,0.737508,0.014560,0.043302,-0.673791,0.831250,0.064409,0.106385,-0.541809,0.731027,-0.029100,0.194069,-0.653522
0.669031,0.113603,0.097786,-0.727963,0.626634,-0.281026,-0.376988,-0.621477,0.709494,0.218305,0.099235,-0.662656,0.715539,-0.021603,0.013503,-0.698108,0.568805,-0.386493,-0.288351,-0.666287,0.625283,0.131304,0.188483,-0.745825,0.651724,0.016801,-0.006613,-0.758241,0.606258,0.278024,0.287573,-0.687354,0.594824,0.082660,0.011044,-0.799518,0.490680,0.173573,0.074149,-0.850651,0.584240,0.223443,0.046821,-0.778810,0.737585,0.014900,0.042929,-0.673724,0.831138,0.064571,0.105779,-0.542081,0.731202,-0.028655,0.193814,-0.653421
0.668752,0.113826,0.098023,-0.728152,0.626771,-0.280399,-0.376567,-0.621878,0.709517,0.218091,0.099150,-0.662715,0.715584,-0.021183,0.013324,-0.698078,0.569037,-0.385926,-0.287828,-0.666643,0.625407,0.130899,0.188170,-0.745871,0.651747,0.017002,-0.006839,-0.758215,0.606182,0.278453,0.287549,-0.687258,0.594682,0.082877,0.010758,-0.799605,0.490333,0.173997,0.073966,-0.850781,0.581478,0.221803,0.046314,-0.781372,0.737552,0.015208,0.042701,-0.673767,0.831041,0.064797,0.105425,-0.542272,0.731378,-0.028785,0.193708,-0.653249
0.668440,0.114061,0.098278,-0.728368,0.626911,-0.279728,-0.376132,-0.622302,0.709547,0.217864,0.099048,-0.662773,0.715617,-0.020994,0.013261,-0.698051,0.569245,-0.385381,-0.287294,-0.667011,0.625500,0.130505,0.187837,-0.745946,0.651735,0.017134,-0.006968,-0.758221,0.606073,0.278833,0.287609,-0.687175,0.594540,0.083077,0.010546,-0.799693,0.489999,0.174360,0.073834,-0.850910,0.578598,0.220317,0.045619,-0.783967,0.737521,0.015467,0.042563,-0.673804,0.830979,0.065004,0.105196,-0.542385,0.731499,-0.028803,0.193530,-0.653166
0.668061,0.114320,0.098570,-0.728635,0.627061,-0.278973,-0.375667,-0.622771,0.709592,0.217611,0.098913,-0.662828,0.715626,-0.021267,0.013429,-0.698030,0.569401,-0.384878,-0.286741,-0.667406,0.625531,0.130131,0.187465,-0.746079,0.651654,0.017127,-0.006902,-0.758292,0.605899,0.279113,0.287838,-0.687119,0.594397,0.083242,0.010480,-0.799783,0.489692,0.174603,0.073804,-0.851039,0.575496,0.219140,0.044559,-0.786636,0.737494,0.015628,0.042603,-0.673828,0.830990,0.065176,0.105218,-0.542344,0.731509,-0.028593,0.193207,-0.653259
0.667816,0.114644,0.098884,-0.728766,0.627217,-0.278316,-0.375207,-0.623184,0.709622,0.217327,0.098762,-0.662912,0.715643,-0.021209,0.013425,-0.698015,0.569621,-0.384346,-0.286192,-0.667761,0.625614,0.129742,0.187129,-0.746161,0.651641,0.017197,-0.007079,-0.758300,0.605616,0.279409,0.288141,-0.687121,0.594169,0.083466,0.010503,-0.799929,0.489497,0.174689,0.073744,-0.851139,0.571947,0.217998,0.043345,-0.789604,0.737415,0.015713,0.042708,-0.673905,0.831074,0.065235,0.105245,-0.542202,0.731546,-0.028475,0.193069,-0.653264
