pelvis_qw,pelvis_qx,pelvis_qy,pelvis_qz,left_hip_roll_link_qw,left_hip_roll_link_qx,left_hip_roll_link_qy,left_hip_roll_link_qz,left_knee_link_qw,left_knee_link_qx,left_knee_link_qy,left_knee_link_qz,left_ankle_roll_link_qw,left_ankle_roll_link_qx,left_ankle_roll_link_qy,left_ankle_roll_link_qz,right_hip_roll_link_qw,right_hip_roll_link_qx,right_hip_roll_link_qy,right_hip_roll_link_qz,right_knee_link_qw,right_knee_link_qx,right_knee_link_qy,right_knee_link_qz,right_ankle_roll_link_qw,right_ankle_roll_link_qx,right_ankle_roll_link_qy,right_ankle_roll_link_qz,torso_link_qw,torso_link_qx,torso_link_qy,torso_link_qz,left_shoulder_roll_link_qw,left_shoulder_roll_link_qx,left_shoulder_roll_link_qy,left_shoulder_roll_link_qz,left_elbow_link_qw,left_elbow_link_qx,left_elbow_link_qy,left_elbow_link_qz,left_wrist_yaw_link_qw,left_wrist_yaw_link_qx,left_wrist_yaw_link_qy,left_wrist_yaw_link_qz,right_shoulder_roll_link_qw,right_shoulder_roll_link_qx,right_shoulder_roll_link_qy,right_shoulder_roll_link_qz,right_elbow_link_qw,right_elbow_link_qx,right_elbow_link_qy,right_elbow_link_qz,right_wrist_yaw_link_qw,right_wrist_yaw_link_qx,right_wrist_yaw_link_qy,right_wrist_yaw_link_qz
0.989052,0.037699,-0.032264,0.138972,0.989197,0.040474,-0.019731,0.139506,0.923036,-0.019011,0.106185,0.369281,0.929341,0.005518,-0.001525,0.369177,0.953755,-0.199789,-0.210188,0.079099,0.979827,-0.125335,0.083408,-0.131431,0.987277,-0.090932,0.031165,-0.126663,0.991576,-0.014113,0.092175,0.089895,0.991532,0.098570,0.046693,0.070479,0.748743,0.197060,0.617012,-0.140881,0.757531,0.198744,0.619217,-0.056732,0.976337,-0.169957,0.086478,0.101994,0.718240,-0.311652,0.554883,0.281262,0.796906,-0.234031,0.542934,0.124064
0.989690,0.038229,-0.028811,0.134988,0.989537,0.046150,-0.017849,0.135529,0.922970,-0.013109,0.106452,0.369626,0.929428,0.005651,-0.001545,0.368957,0.958262,-0.187723,-0.200030,0.080511,0.983069,-0.130121,0.073150,-0.106265,0.992002,-0.068879,0.025438,-0.102669,0.991751,-0.015183,0.092221,0.087720,0.991524,0.100318,0.046524,0.068211,0.748694,0.199023,0.616456,-0.140816,0.758434,0.199861,0.617848,-0.055652,0.976711,-0.169507,0.085551,0.099925,0.718528,-0.311399,0.554622,0.281323,0.796598,-0.234115,0.543188,0.124774
0.990132,0.037172,-0.026019,0.132587,0.989577,0.052436,-0.016015,0.133158,0.922774,-0.006680,0.106702,0.370214,0.929421,0.006081,-0.001396,0.368970,0.961587,-0.181997,-0.187805,0.083404,0.984150,-0.125832,0.065524,-0.106403,0.993211,-0.050601,0.018315,-0.103135,0.991931,-0.016892,0.092283,0.085269,0.991599,0.101569,0.045911,0.065637,0.749063,0.201372,0.614904,-0.142291,0.758853,0.203326,0.616175,-0.055943,0.977045,-0.169407,0.084642,0.097572,0.718890,-0.311272,0.554284,0.281205,0.796725,-0.233627,0.543130,0.125130
0.990535,0.035353,-0.023721,0.130488,0.989512,0.058964,-0.014195,0.131100,0.922546,-0.000034,0.106954,0.370770,0.929414,0.006752,-0.001080,0.368976,0.964763,-0.175775,-0.175577,0.086649,0.985181,-0.121374,0.058046,-0.106386,0.993974,-0.033656,0.012792,-0.103535,0.992100,-0.018611,0.092390,0.082796,0.991674,0.102759,0.045281,0.063040,0.749444,0.203714,0.613298,-0.143878,0.759447,0.206835,0.614194,-0.056788,0.977388,-0.169244,0.083680,0.095222,0.719333,-0.311077,0.553953,0.280940,0.796892,-0.233401,0.542923,0.125385
0.990875,0.032010,-0.022409,0.128994,0.989280,0.065987,-0.012364,0.129683,0.922272,0.007058,0.107286,0.371287,0.929408,0.007923,-0.000356,0.368969,0.967788,-0.168682,-0.163385,0.090761,0.986248,-0.116478,0.050829,-0.105664,0.994369,-0.019287,0.010478,-0.103671,0.992258,-0.020329,0.092574,0.080255,0.991757,0.103844,0.044615,0.060365,0.749845,0.206077,0.611586,-0.145699,0.760385,0.210467,0.611609,-0.058753,0.977762,-0.168931,0.082608,0.092844,0.719958,-0.310706,0.553640,0.280365,0.797154,-0.233659,0.542419,0.125419
0.991174,0.028309,-0.021046,0.127787,0.988940,0.073235,-0.010601,0.128538,0.922029,0.014370,0.107603,0.371588,0.929459,0.009291,0.000726,0.368808,0.970483,-0.161301,-0.152334,0.094551,0.987180,-0.111095,0.044893,-0.105445,0.994511,-0.006911,0.008417,-0.104068,0.992410,-0.021865,0.092547,0.077970,0.991916,0.104408,0.043003,0.057902,0.750280,0.208975,0.609350,-0.148669,0.761376,0.214298,0.608764,-0.061553,0.978041,-0.168910,0.081782,0.090650,0.720811,-0.310273,0.553145,0.279630,0.797536,-0.233717,0.541901,0.125120
0.991443,0.024431,-0.019658,0.126721,0.988516,0.080594,-0.008881,0.127522,0.921775,0.021790,0.107902,0.371769,0.929526,0.010757,0.001981,0.368595,0.972954,-0.153754,-0.141808,0.098030,0.987985,-0.105504,0.039663,-0.105738,0.994458,0.004423,0.006520,-0.104837,0.992558,-0.023314,0.092405,0.075811,0.992108,0.104702,0.040904,0.055552,0.750724,0.212136,0.606832,-0.152204,0.762388,0.218218,0.605765,-0.064761,0.978271,-0.169038,0.081068,0.088544,0.721781,-0.309814,0.552552,0.278809,0.797983,-0.233679,0.541368,0.124649
0.991788,0.019406,-0.018162,0.125098,0.988048,0.088539,-0.007421,0.125964,0.921322,0.029241,0.108836,0.372110,0.929519,0.012728,0.003150,0.368541,0.974787,-0.146090,-0.136018,0.099734,0.988710,-0.099021,0.038981,-0.105488,0.994482,0.008515,0.005170,-0.104438,0.992747,-0.024472,0.092413,0.072899,0.992376,0.104263,0.039448,0.052555,0.751817,0.213722,0.604193,-0.155064,0.764096,0.220023,0.602521,-0.068670,0.978575,-0.169342,0.079567,0.085923,0.722197,-0.310211,0.552076,0.278232,0.798360,-0.234544,0.540529,0.124256
0.992137,0.014223,-0.016646,0.123227,0.987489,0.096944,-0.006491,0.124198,0.920705,0.036444,0.110502,0.372511,0.929473,0.014561,0.004339,0.368578,0.976549,-0.138284,-0.130491,0.101001,0.989381,-0.092428,0.038428,-0.105384,0.994482,0.011690,0.003882,-0.104183,0.992940,-0.025496,0.092392,0.069877,0.992649,0.103715,0.037997,0.049467,0.753039,0.215398,0.601182,-0.158482,0.765704,0.222157,0.599221,-0.072640,0.978879,-0.169699,0.077925,0.083227,0.722695,-0.310653,0.551556,0.277475,0.798825,-0.235299,0.539693,0.123470
0.992516,0.008723,-0.015089,0.120861,0.986795,0.106267,-0.006595,0.122063,0.919788,0.043141,0.113662,0.373109,0.929350,0.016110,0.005598,0.368807,0.978243,-0.130233,-0.125541,0.101586,0.990021,-0.085614,0.038052,-0.105266,0.994499,0.013045,0.002671,-0.103898,0.993148,-0.026244,0.092345,0.066645,0.992938,0.102965,0.036595,0.046192,0.754494,0.217257,0.597465,-0.163014,0.767118,0.224960,0.595849,-0.076723,0.979188,-0.170142,0.076035,0.080386,0.723345,-0.311161,0.550969,0.276376,0.799456,-0.235809,0.538888,0.121915
0.992852,0.003094,-0.014106,0.118477,0.985995,0.115649,-0.006709,0.119976,0.918793,0.049842,0.116923,0.373716,0.929200,0.017400,0.006999,0.369102,0.979859,-0.122061,-0.120679,0.102047,0.990620,-0.078753,0.037798,-0.105081,0.994519,0.013880,0.001787,-0.103619,0.993336,-0.027021,0.092402,0.063368,0.993262,0.101692,0.035348,0.042892,0.756562,0.217839,0.593626,-0.166637,0.769112,0.226961,0.591946,-0.080963,0.979445,-0.170784,0.074222,0.077536,0.724225,-0.311571,0.550372,0.274794,0.800184,-0.236327,0.538014,0.119981
0.993146,-0.002598,-0.013408,0.116081,0.985091,0.125055,-0.006859,0.117937,0.917711,0.056523,0.120185,0.374389,0.929005,0.018550,0.008420,0.369507,0.981399,-0.113812,-0.115865,0.102367,0.991163,-0.071845,0.037604,-0.104978,0.994526,0.014471,0.001054,-0.103473,0.993511,-0.027812,0.092492,0.060068,0.993597,0.100155,0.034160,0.039580,0.758935,0.217776,0.589710,-0.169803,0.771392,0.228557,0.587747,-0.085265,0.979671,-0.171529,0.072428,0.074679,0.725227,-0.311940,0.549755,0.272962,0.800966,-0.236855,0.537089,0.117851
