joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.027895,0.045389,0.008004,0.042723,-0.271760,-0.070322,0.269629,-0.103644,0.271763,0.207995,0.258155,-0.111285,-0.269655,-0.160034,-0.168009,0.341502,-0.359525,-0.075788,0.161894,-0.744756,1.139668,0.832391,0.930532,-0.157120,0.163677,0.151151,0.066365,0.080805,0.006357
-0.031334,0.048815,0.003739,0.037383,-0.288386,-0.068060,0.272878,-0.185865,0.271424,0.210701,0.289938,-0.115585,-0.268366,-0.163147,-0.220450,0.341336,-0.356426,-0.066558,0.114212,-0.764427,1.133011,0.832827,0.929236,-0.157161,0.163210,0.150130,0.064979,0.079613,0.003978
-0.029641,0.063064,0.001943,0.030176,-0.302217,-0.066343,0.275946,-0.263695,0.272274,0.208707,0.337465,-0.118519,-0.266081,-0.164672,-0.255224,0.341302,-0.353256,-0.060226,0.084930,-0.776161,1.131857,0.833853,0.928628,-0.151571,0.164716,0.150944,0.063643,0.075627,0.002207
-0.026403,0.075650,0.001617,0.022807,-0.313217,-0.064662,0.281082,-0.328571,0.273023,0.204713,0.391673,-0.120111,-0.263698,-0.166084,-0.284991,0.340691,-0.350136,-0.054898,0.056216,-0.783534,1.132206,0.834583,0.928080,-0.147010,0.165082,0.152120,0.062981,0.072828,0.001579
-0.020074,0.084911,0.004228,0.015114,-0.318554,-0.063056,0.290352,-0.367540,0.273574,0.196718,0.459245,-0.119017,-0.261119,-0.167271,-0.304744,0.338926,-0.347111,-0.051577,0.028635,-0.782187,1.135561,0.834720,0.927652,-0.144505,0.163172,0.154022,0.063664,0.072402,0.003237
-0.012302,0.091242,0.007933,0.007013,-0.312606,-0.061982,0.300099,-0.378553,0.273564,0.187299,0.526167,-0.116020,-0.258899,-0.168170,-0.321080,0.336478,-0.344454,-0.050450,0.009051,-0.775532,1.143283,0.834606,0.927540,-0.146586,0.161785,0.154398,0.063859,0.074118,0.005312
-0.003807,0.096108,0.012184,-0.001292,-0.301016,-0.061175,0.310084,-0.375587,0.273274,0.177168,0.592763,-0.112072,-0.256858,-0.168924,-0.335707,0.333688,-0.341980,-0.050419,-0.006534,-0.766224,1.153190,0.834367,0.927587,-0.150961,0.160660,0.154011,0.063810,0.076905,0.007595
0.002027,0.098593,0.015254,-0.009873,-0.272748,-0.061980,0.318475,-0.349981,0.272171,0.171366,0.647440,-0.107277,-0.254076,-0.170093,-0.344886,0.331331,-0.339649,-0.046534,-0.005624,-0.755845,1.161438,0.834825,0.926664,-0.153802,0.155536,0.152432,0.064731,0.080315,0.010188
0.006877,0.101530,0.017633,-0.018112,-0.240758,-0.062909,0.326178,-0.323941,0.270642,0.166156,0.695600,-0.102547,-0.251234,-0.171273,-0.350388,0.329336,-0.337239,-0.042637,-0.000950,-0.746266,1.168586,0.835871,0.925777,-0.156911,0.150148,0.150786,0.065539,0.083661,0.011996
0.009756,0.105371,0.018631,-0.025665,-0.201323,-0.064086,0.332506,-0.297036,0.268263,0.162129,0.730726,-0.097949,-0.248272,-0.172475,-0.348536,0.328067,-0.334668,-0.038713,0.011250,-0.738289,1.173533,0.838091,0.924966,-0.160555,0.144233,0.149003,0.066120,0.086881,0.012233
0.012409,0.111302,0.017950,-0.032660,-0.156155,-0.065714,0.338471,-0.269073,0.266029,0.158767,0.751120,-0.093821,-0.245788,-0.173783,-0.336710,0.327727,-0.331287,-0.035819,0.026362,-0.733236,1.175978,0.841256,0.924845,-0.162019,0.142444,0.149152,0.066752,0.087130,0.012044
0.014949,0.118278,0.016429,-0.039376,-0.108120,-0.067567,0.344256,-0.240582,0.263867,0.155738,0.764148,-0.089929,-0.243543,-0.175143,-0.319897,0.327852,-0.327502,-0.033439,0.042932,-0.729644,1.177173,0.844893,0.925069,-0.162394,0.142718,0.150268,0.067410,0.085893,0.011641
