pelvis_qw,pelvis_qx,pelvis_qy,pelvis_qz,left_hip_roll_link_qw,left_hip_roll_link_qx,left_hip_roll_link_qy,left_hip_roll_link_qz,left_knee_link_qw,left_knee_link_qx,left_knee_link_qy,left_knee_link_qz,left_ankle_roll_link_qw,left_ankle_roll_link_qx,left_ankle_roll_link_qy,left_ankle_roll_link_qz,right_hip_roll_link_qw,right_hip_roll_link_qx,right_hip_roll_link_qy,right_hip_roll_link_qz,right_knee_link_qw,right_knee_link_qx,right_knee_link_qy,right_knee_link_qz,right_ankle_roll_link_qw,right_ankle_roll_link_qx,right_ankle_roll_link_qy,right_ankle_roll_link_qz,torso_link_qw,torso_link_qx,torso_link_qy,torso_link_qz,left_shoulder_roll_link_qw,left_shoulder_roll_link_qx,left_shoulder_roll_link_qy,left_shoulder_roll_link_qz,left_elbow_link_qw,left_elbow_link_qx,left_elbow_link_qy,left_elbow_link_qz,left_wrist_yaw_link_qw,left_wrist_yaw_link_qx,left_wrist_yaw_link_qy,left_wrist_yaw_link_qz,right_shoulder_roll_link_qw,right_shoulder_roll_link_qx,right_shoulder_roll_link_qy,right_shoulder_roll_link_qz,right_elbow_link_qw,right_elbow_link_qx,right_elbow_link_qy,right_elbow_link_qz,right_wrist_yaw_link_qw,right_wrist_yaw_link_qx,right_wrist_yaw_link_qy,right_wrist_yaw_link_qz
0.121907,0.043488,0.003851,0.991581,0.124215,0.120145,-0.025289,0.984630,-0.038150,-0.050662,-0.052488,0.996606,-0.041975,0.037402,-0.065615,0.996260,0.125655,0.064845,-0.053093,0.988528,0.237363,-0.374125,0.070051,0.893746,0.250306,-0.221683,0.051563,0.941034,0.118113,-0.091205,-0.014623,0.988695,0.135843,-0.026421,0.141043,0.980283,0.384592,-0.423998,0.307004,0.760305,0.297261,-0.499210,0.291530,0.759892,0.085205,0.010647,-0.187285,0.978545,-0.350624,-0.469405,-0.355489,0.728251,-0.310156,-0.520075,-0.310125,0.732903
0.124780,0.044444,0.004078,0.991180,0.127522,0.119342,-0.028630,0.984213,-0.037338,-0.050010,-0.055791,0.996490,-0.041534,0.038672,-0.067280,0.996119,0.126445,0.066076,-0.022488,0.989515,0.204715,-0.373209,0.084113,0.900962,0.222839,-0.224948,0.084146,0.944807,0.121681,-0.089283,-0.015186,0.988429,0.138888,-0.025436,0.141159,0.979866,0.387348,-0.423858,0.309597,0.757928,0.300211,-0.498993,0.294392,0.757768,0.089123,0.010694,-0.186442,0.978357,-0.347157,-0.469522,-0.352839,0.731119,-0.306651,-0.520081,-0.307039,0.735668
0.128073,0.045141,0.004677,0.990726,0.131311,0.118399,-0.031992,0.983725,-0.036427,-0.049188,-0.059091,0.996374,-0.040989,0.039828,-0.068990,0.995979,0.127642,0.066987,0.009427,0.989511,0.169409,-0.366156,0.097394,0.909805,0.192582,-0.220409,0.117152,0.949003,0.125363,-0.087440,-0.015642,0.988126,0.142068,-0.024479,0.141435,0.979395,0.390434,-0.423514,0.312345,0.755406,0.303569,-0.498580,0.297748,0.755387,0.093135,0.010802,-0.185677,0.978127,-0.343742,-0.469506,-0.350228,0.733994,-0.303142,-0.519698,-0.304469,0.738456
0.132207,0.045319,0.006019,0.990167,0.136066,0.117184,-0.035408,0.983107,-0.035307,-0.048001,-0.062400,0.996271,-0.040209,0.040779,-0.070808,0.995845,0.129671,0.067212,0.043905,0.988302,0.129161,-0.347969,0.109569,0.922079,0.157082,-0.200842,0.152154,0.954901,0.129275,-0.085755,-0.015880,0.987766,0.145515,-0.023574,0.142026,0.978825,0.394196,-0.422771,0.315381,0.752601,0.307754,-0.497780,0.302073,0.752499,0.097331,0.011018,-0.185080,0.977830,-0.340446,-0.469245,-0.347704,0.736891,-0.299632,-0.518572,-0.302943,0.741303
0.136981,0.044697,0.007800,0.989534,0.141524,0.116308,-0.038836,0.982311,-0.034026,-0.046877,-0.065826,0.996148,-0.039313,0.041775,-0.072162,0.995742,0.132946,0.065095,0.073405,0.986255,0.096009,-0.320465,0.119845,0.934731,0.126697,-0.173738,0.183402,0.959232,0.133220,-0.084195,-0.015790,0.987377,0.149015,-0.022895,0.142683,0.978219,0.397554,-0.421910,0.318015,0.750206,0.311692,-0.497142,0.305722,0.749821,0.101473,0.011815,-0.184722,0.977467,-0.337568,-0.468531,-0.345863,0.739531,-0.296675,-0.517500,-0.301131,0.743974
0.142073,0.043673,0.009800,0.988844,0.147334,0.115564,-0.042278,0.981402,-0.032670,-0.045840,-0.069307,0.996006,-0.038369,0.042739,-0.073281,0.995656,0.136983,0.061932,0.100410,0.983523,0.067035,-0.287210,0.130596,0.946552,0.098985,-0.142217,0.213958,0.961352,0.137179,-0.082703,-0.015549,0.986965,0.152539,-0.022334,0.143365,0.977589,0.400708,-0.420990,0.320437,0.748011,0.315501,-0.496588,0.309022,0.747239,0.105582,0.012895,-0.184496,0.977061,-0.334895,-0.467597,-0.344374,0.742028,-0.293992,-0.516457,-0.299186,0.746544
0.148025,0.042214,0.012161,0.988007,0.154075,0.116174,-0.045526,0.980149,-0.031076,-0.046038,-0.073024,0.995782,-0.037264,0.044533,-0.076510,0.995377,0.142941,0.055778,0.115978,0.981329,0.052699,-0.244991,0.135720,0.958531,0.082020,-0.109360,0.230683,0.963379,0.140800,-0.081871,-0.014634,0.986539,0.155838,-0.022703,0.144368,0.976912,0.402415,-0.420438,0.321784,0.746826,0.317735,-0.495855,0.311224,0.745864,0.109301,0.013611,-0.183943,0.976746,-0.332140,-0.467512,-0.342888,0.744005,-0.291552,-0.516000,-0.298658,0.748028
0.153709,0.040948,0.014502,0.987161,0.160579,0.116868,-0.048828,0.978863,-0.029573,-0.046216,-0.076811,0.995535,-0.036253,0.046150,-0.079961,0.995069,0.148830,0.050491,0.127451,0.979314,0.043363,-0.201445,0.139772,0.968506,0.068360,-0.075397,0.236563,0.966271,0.144412,-0.081207,-0.013490,0.986087,0.159154,-0.023304,0.145491,0.976196,0.403771,-0.419950,0.322892,0.745890,0.319209,-0.495209,0.312933,0.744947,0.112969,0.014458,-0.183262,0.976444,-0.329312,-0.467602,-0.341556,0.745816,-0.288981,-0.515809,-0.297715,0.749531
0.158864,0.040069,0.016804,0.986344,0.166599,0.117805,-0.052210,0.977569,-0.028273,-0.046231,-0.080732,0.995262,-0.035429,0.047539,-0.083841,0.994714,0.154356,0.046671,0.130702,0.978219,0.042679,-0.157412,0.138832,0.976794,0.061896,-0.040396,0.218556,0.973021,0.148014,-0.080874,-0.011874,0.985602,0.162509,-0.024365,0.146859,0.975412,0.404427,-0.419587,0.323536,0.745460,0.319170,-0.494743,0.313673,0.744963,0.116545,0.015572,-0.182314,0.976185,-0.326348,-0.468043,-0.340522,0.747314,-0.286158,-0.516140,-0.295926,0.751093
0.162866,0.040225,0.016846,0.985684,0.171039,0.119182,-0.055537,0.976451,-0.027018,-0.045976,-0.084546,0.994992,-0.034630,0.048585,-0.087111,0.994410,0.158423,0.046800,0.128775,0.977818,0.051768,-0.126457,0.136355,0.981191,0.067306,-0.014976,0.188516,0.979647,0.151044,-0.080929,-0.009581,0.985162,0.165445,-0.025175,0.148164,0.974701,0.404778,-0.418965,0.323996,0.745419,0.319894,-0.493980,0.314271,0.744906,0.119569,0.016512,-0.181159,0.976018,-0.323870,-0.468383,-0.339410,0.748683,-0.283366,-0.516761,-0.294583,0.752251
