pelvis_x,pelvis_y,pelvis_z,left_hip_roll_link_x,left_hip_roll_link_y,left_hip_roll_link_z,left_knee_link_x,left_knee_link_y,left_knee_link_z,left_ankle_roll_link_x,left_ankle_roll_link_y,left_ankle_roll_link_z,right_hip_roll_link_x,right_hip_roll_link_y,right_hip_roll_link_z,right_knee_link_x,right_knee_link_y,right_knee_link_z,right_ankle_roll_link_x,right_ankle_roll_link_y,right_ankle_roll_link_z,torso_link_x,torso_link_y,torso_link_z,left_shoulder_roll_link_x,left_shoulder_roll_link_y,left_shoulder_roll_link_z,left_elbow_link_x,left_elbow_link_y,left_elbow_link_z,left_wrist_yaw_link_x,left_wrist_yaw_link_y,left_wrist_yaw_link_z,right_shoulder_roll_link_x,right_shoulder_roll_link_y,right_shoulder_roll_link_z,right_elbow_link_x,right_elbow_link_y,right_elbow_link_z,right_wrist_yaw_link_x,right_wrist_yaw_link_y,right_wrist_yaw_link_z
-0.391695,0.025058,-0.071508,0.277301,-0.279172,-0.124353,0.237066,0.067397,-0.021018,0.069916,0.068853,-0.022598,0.508126,1.584453,-0.372204,-0.206420,-1.651293,-0.198864,0.281359,-0.789483,0.014216,0.044938,-0.126161,-0.030117,-0.154484,-0.181035,-0.039645,-0.102186,-0.096911,-0.002420,-0.000040,-0.159531,0.130946,0.023519,-0.288151,-0.073636,-0.031723,0.106906,-1.325739,0.080075,0.240507,-1.416544
-0.358012,0.028188,-0.181263,0.234793,-0.268367,-0.221943,0.218523,-0.012612,-0.015951,0.066389,0.062707,-0.019194,0.446932,1.881918,-0.509644,-0.303621,-1.819555,-0.220810,0.423451,-1.067339,0.006025,0.070597,-0.161923,-0.100395,-0.186710,-0.238435,-0.111803,-0.136640,-0.146895,-0.053818,-0.045011,-0.207172,0.094150,-0.019883,-0.290596,-0.137245,-0.080329,0.164616,-1.524755,0.022396,0.339086,-1.659122
-0.289705,0.028821,-0.283319,0.186319,-0.259828,-0.308832,0.192238,-0.096096,-0.011198,0.054364,0.053725,-0.016090,0.344307,2.071130,-0.606582,-0.378468,-1.844061,-0.228058,0.552153,-1.299647,-0.004850,0.092441,-0.191173,-0.182216,-0.216255,-0.291447,-0.194543,-0.183630,-0.215678,-0.125695,-0.118178,-0.263809,0.017316,-0.065905,-0.280530,-0.211512,-0.123980,0.210367,-1.668328,-0.021447,0.433563,-1.836354
-0.197380,0.022357,-0.360672,0.136864,-0.261462,-0.369941,0.158398,-0.166787,-0.006315,0.039310,0.042890,-0.012286,0.210287,2.128485,-0.638042,-0.423895,-1.695992,-0.204808,0.595165,-1.406799,-0.006714,0.111601,-0.209724,-0.268253,-0.239333,-0.334705,-0.280494,-0.242427,-0.300345,-0.208388,-0.213234,-0.336496,-0.103165,-0.107280,-0.259125,-0.290206,-0.158197,0.242151,-1.738094,-0.046687,0.515039,-1.929057
-0.093941,0.008567,-0.400464,0.089923,-0.271968,-0.394376,0.119213,-0.219558,-0.000941,0.025802,0.031819,-0.007387,0.056901,2.049947,-0.590276,-0.435376,-1.364241,-0.130435,0.485326,-1.327549,0.014873,0.130430,-0.217140,-0.349179,-0.252516,-0.364574,-0.361051,-0.307134,-0.391646,-0.288873,-0.318383,-0.424919,-0.257878,-0.135379,-0.231116,-0.364907,-0.179549,0.262292,-1.725712,-0.048753,0.574553,-1.929271
0.008105,-0.009913,-0.399925,0.047491,-0.285868,-0.380928,0.078055,-0.257168,0.004463,0.014997,0.021845,-0.002127,-0.100234,1.857471,-0.470637,-0.412105,-0.865080,-0.000177,0.211450,-1.047425,0.063650,0.150847,-0.216915,-0.416441,-0.254084,-0.380158,-0.428887,-0.367800,-0.476253,-0.355960,-0.418492,-0.517379,-0.420651,-0.142706,-0.203423,-0.427444,-0.185366,0.274341,-1.634618,-0.024585,0.606380,-1.840183
0.097608,-0.030452,-0.368469,0.010447,-0.299520,-0.339944,0.038280,-0.284945,0.009222,0.005089,0.013659,0.002500,-0.238932,1.596739,-0.310631,-0.357735,-0.245128,0.155605,-0.155128,-0.606810,0.120881,0.172911,-0.214463,-0.465357,-0.245075,-0.383582,-0.480325,-0.413686,-0.540814,-0.403971,-0.497400,-0.595933,-0.558035,-0.125568,-0.182754,-0.473005,-0.173694,0.279449,-1.480706,0.019733,0.611514,-1.679804
0.165524,-0.051708,-0.323718,-0.021163,-0.313065,-0.289321,0.002398,-0.307982,0.013286,-0.005402,0.007575,0.006219,-0.333980,1.321499,-0.156045,-0.278704,0.430154,0.277720,-0.489329,-0.082567,0.149741,0.194640,-0.214363,-0.496151,-0.229119,-0.378994,-0.515806,-0.436488,-0.575587,-0.433422,-0.541099,-0.645482,-0.646077,-0.085488,-0.173917,-0.501588,-0.144062,0.275374,-1.291010,0.065476,0.597494,-1.484116
0.206249,-0.073046,-0.283668,-0.047903,-0.328829,-0.246751,-0.028363,-0.330305,0.016894,-0.015197,0.003545,0.009156,-0.369087,1.073921,-0.047229,-0.181705,1.095971,0.312487,-0.680495,0.444970,0.118054,0.213099,-0.218718,-0.512247,-0.211035,-0.370538,-0.538283,-0.432226,-0.576428,-0.449412,-0.541720,-0.659538,-0.681898,-0.029062,-0.179482,-0.516784,-0.098791,0.258403,-1.099515,0.090063,0.572838,-1.299928
0.218887,-0.093473,-0.259730,-0.070702,-0.349014,-0.222891,-0.054123,-0.354516,0.019759,-0.021500,0.000767,0.011002,-0.348389,0.873504,-0.001615,-0.072783,1.703712,0.246909,-0.688116,0.918792,0.021996,0.225861,-0.227190,-0.517548,-0.195085,-0.360420,-0.551055,-0.401905,-0.545184,-0.459071,-0.500491,-0.639576,-0.680991,0.033528,-0.199634,-0.523047,-0.043412,0.225416,-0.939289,0.082802,0.538998,-1.165915
0.207158,-0.111032,-0.253393,-0.090631,-0.374383,-0.218217,-0.076016,-0.381643,0.021294,-0.022805,-0.002238,0.011203,-0.296018,0.717549,-0.009268,0.042360,2.227398,0.114723,-0.549371,1.313475,-0.110266,0.231988,-0.237825,-0.514509,-0.183626,-0.348104,-0.556277,-0.351052,-0.488559,-0.468666,-0.427363,-0.589756,-0.660899,0.091396,-0.231465,-0.523242,0.015070,0.173701,-0.831739,0.053906,0.486118,-1.094016
0.177487,-0.122715,-0.256694,-0.108625,-0.404131,-0.223714,-0.095514,-0.411397,0.021654,-0.019941,-0.007013,0.009961,-0.242882,0.588385,-0.042179,0.158556,2.662002,-0.028467,-0.346380,1.627484,-0.236922,0.232096,-0.247791,-0.503567,-0.176594,-0.330840,-0.554355,-0.288090,-0.415673,-0.480896,-0.337292,-0.512864,-0.625715,0.136341,-0.268881,-0.517603,0.070935,0.099930,-0.778731,0.028846,0.397297,-1.066115
0.136369,-0.124763,-0.255938,-0.125173,-0.436449,-0.224763,-0.113662,-0.442740,0.021989,-0.015376,-0.014899,0.008494,-0.211493,0.462547,-0.069385,0.272089,3.015685,-0.136823,-0.162730,1.870199,-0.325118,0.227551,-0.254031,-0.483684,-0.172033,-0.305205,-0.544136,-0.221986,-0.335277,-0.493761,-0.245562,-0.412417,-0.569279,0.164611,-0.304642,-0.504436,0.120889,0.001359,-0.764984,0.032297,0.259715,-1.048864
0.088641,-0.113759,-0.237449,-0.140266,-0.469147,-0.207005,-0.130690,-0.474384,0.023552,-0.012436,-0.027263,0.008140,-0.208708,0.321550,-0.069360,0.380546,3.297653,-0.190385,-0.050176,2.053502,-0.361094,0.219406,-0.254141,-0.453518,-0.167352,-0.268928,-0.523830,-0.160036,-0.253868,-0.501857,-0.164209,-0.297955,-0.494603,0.176082,-0.333790,-0.481966,0.162927,-0.120658,-0.770354,0.072189,0.075090,-1.015863
0.037554,-0.088668,-0.192805,-0.153892,-0.500053,-0.161671,-0.146373,-0.504975,0.026914,-0.014352,-0.045152,0.009580,-0.227176,0.163891,-0.035492,0.479929,3.505102,-0.192915,-0.014652,2.190123,-0.347105,0.207943,-0.247200,-0.412627,-0.160448,-0.221977,-0.492272,-0.106565,-0.175217,-0.499284,-0.100093,-0.184939,-0.423205,0.172410,-0.355568,-0.449900,0.194990,-0.258256,-0.781568,0.133683,-0.138865,-0.961803
-0.013711,-0.052849,-0.121061,-0.166832,-0.527303,-0.087907,-0.160918,-0.533212,0.032169,-0.022132,-0.068042,0.013008,-0.249973,0.015606,0.024765,0.559022,3.612103,-0.162150,-0.025088,2.292959,-0.294964,0.192894,-0.233829,-0.361977,-0.150163,-0.166248,-0.449693,-0.062832,-0.100630,-0.481974,-0.054270,-0.086491,-0.376851,0.156051,-0.372097,-0.409548,0.215141,-0.398462,-0.793946,0.187443,-0.357968,-0.899725
-0.060236,-0.014470,-0.027649,-0.181050,-0.549722,0.008224,-0.175598,-0.558188,0.039522,-0.032464,-0.093150,0.018701,-0.255150,-0.070034,0.094736,0.595346,3.568339,-0.122375,-0.039290,2.369888,-0.223611,0.173702,-0.215480,-0.303586,-0.136387,-0.104547,-0.397555,-0.027927,-0.029407,-0.448037,-0.022657,-0.005466,-0.352558,0.130184,-0.385608,-0.362810,0.222581,-0.527374,-0.805037,0.207220,-0.563683,-0.844880
-0.094891,0.015497,0.078235,-0.199126,-0.567138,0.116360,-0.192481,-0.579762,0.049382,-0.038942,-0.116857,0.027129,-0.222662,-0.038314,0.156259,0.561012,3.323187,-0.100688,-0.031465,2.416734,-0.159460,0.149453,-0.193790,-0.239788,-0.120330,-0.040166,-0.337818,-0.000041,0.040313,-0.396953,0.001589,0.064023,-0.325117,0.098295,-0.397291,-0.311321,0.217873,-0.633839,-0.809918,0.184311,-0.747014,-0.798812
-0.110106,0.026962,0.185946,-0.223035,-0.580319,0.224335,-0.213424,-0.598523,0.062025,-0.037296,-0.137679,0.038659,-0.145616,0.117699,0.199133,0.440744,2.874766,-0.122456,-0.006248,2.414883,-0.133733,0.118877,-0.170510,-0.172847,-0.104866,0.022871,-0.272542,0.022603,0.110233,-0.329617,0.024351,0.128588,-0.274884,0.063011,-0.408064,-0.256477,0.202101,-0.710672,-0.803102,0.128871,-0.903062,-0.747402
-0.100862,0.014359,0.285070,-0.253144,-0.590604,0.320233,-0.239153,-0.615362,0.077180,-0.029645,-0.158266,0.053231,-0.038170,0.326716,0.227032,0.248007,2.300304,-0.202782,0.007960,2.335305,-0.172799,0.080685,-0.147576,-0.105172,-0.094017,0.079922,-0.204112,0.041458,0.180852,-0.249178,0.047723,0.191338,-0.204320,0.025312,-0.418912,-0.199910,0.176044,-0.754045,-0.782231,0.059417,-1.024590,-0.674098
-0.066058,-0.021371,0.366625,-0.288135,-0.599652,0.393952,-0.269105,-0.631177,0.093493,-0.022338,-0.185205,0.069970,0.070212,0.473068,0.254085,0.021550,1.719271,-0.334724,-0.017646,2.142407,-0.282341,0.033840,-0.126710,-0.039697,-0.091067,0.126713,-0.135445,0.057591,0.251275,-0.160221,0.070392,0.254363,-0.124810,-0.014936,-0.429646,-0.143569,0.140193,-0.762636,-0.747428,-0.009266,-1.101407,-0.575322
-0.007165,-0.073096,0.423158,-0.325734,-0.609535,0.437497,-0.302003,-0.647244,0.107959,-0.019757,-0.228131,0.086833,0.150445,0.473352,0.294293,-0.193678,1.215203,-0.480377,-0.089674,1.794916,-0.433258,-0.022362,-0.108771,0.020193,-0.096302,0.160484,-0.069586,0.071460,0.319629,-0.065784,0.090466,0.321110,-0.036177,-0.057468,-0.437678,-0.089271,0.095479,-0.737449,-0.697440,-0.071047,-1.124984,-0.463504
0.073349,-0.129403,0.448072,-0.363637,-0.622719,0.444331,-0.336518,-0.666027,0.115973,-0.021433,-0.299422,0.100753,0.184864,0.322817,0.352859,-0.361478,0.798091,-0.576098,-0.192530,1.254364,-0.562192,-0.087917,-0.093291,0.070995,-0.106165,0.180418,-0.009222,0.082491,0.383121,0.034479,0.107286,0.393738,0.073682,-0.100448,-0.438331,-0.038560,0.043969,-0.682091,-0.628187,-0.125718,-1.093423,-0.356398
