pelvis_qw,pelvis_qx,pelvis_qy,pelvis_qz,left_hip_roll_link_qw,left_hip_roll_link_qx,left_hip_roll_link_qy,left_hip_roll_link_qz,left_knee_link_qw,left_knee_link_qx,left_knee_link_qy,left_knee_link_qz,left_ankle_roll_link_qw,left_ankle_roll_link_qx,left_ankle_roll_link_qy,left_ankle_roll_link_qz,right_hip_roll_link_qw,right_hip_roll_link_qx,right_hip_roll_link_qy,right_hip_roll_link_qz,right_knee_link_qw,right_knee_link_qx,right_knee_link_qy,right_knee_link_qz,right_ankle_roll_link_qw,right_ankle_roll_link_qx,right_ankle_roll_link_qy,right_ankle_roll_link_qz,torso_link_qw,torso_link_qx,torso_link_qy,torso_link_qz,left_shoulder_roll_link_qw,left_shoulder_roll_link_qx,left_shoulder_roll_link_qy,left_shoulder_roll_link_qz,left_elbow_link_qw,left_elbow_link_qx,left_elbow_link_qy,left_elbow_link_qz,left_wrist_yaw_link_qw,left_wrist_yaw_link_qx,left_wrist_yaw_link_qy,left_wrist_yaw_link_qz,right_shoulder_roll_link_qw,right_shoulder_roll_link_qx,right_shoulder_roll_link_qy,right_shoulder_roll_link_qz,right_elbow_link_qw,right_elbow_link_qx,right_elbow_link_qy,right_elbow_link_qz,right_wrist_yaw_link_qw,right_wrist_yaw_link_qx,right_wrist_yaw_link_qy,right_wrist_yaw_link_qz
0.963895,0.006600,0.048009,-0.261836,0.945107,-0.047611,-0.202219,-0.252217,0.983035,-0.030887,0.108517,-0.144608,0.988837,-0.050487,-0.005318,-0.140090,0.961754,-0.053132,-0.056701,-0.262660,0.827597,0.161022,0.316741,-0.434545,0.847670,0.203416,0.122442,-0.474431,0.985069,-0.000702,0.056131,-0.162751,0.957992,0.193235,0.141808,-0.157484,0.585753,0.366951,0.681433,-0.240603,0.632172,0.310959,0.705617,-0.075942,0.974868,-0.134099,0.087638,-0.154819,0.765731,-0.173140,0.611855,0.096502,0.779570,-0.204066,0.588036,0.069581
0.962059,0.005762,0.051034,-0.267965,0.942408,-0.056360,-0.204798,-0.258358,0.982238,-0.041156,0.109920,-0.146396,0.988826,-0.048978,-0.003363,-0.140762,0.962658,0.007575,-0.050180,-0.265923,0.845461,0.185211,0.300281,-0.400904,0.855487,0.240166,0.120524,-0.442647,0.985947,-0.005643,0.051247,-0.158906,0.958724,0.189283,0.147781,-0.152255,0.581438,0.359939,0.690882,-0.234640,0.618081,0.309838,0.719185,-0.068909,0.975804,-0.136244,0.079108,-0.151608,0.770211,-0.183446,0.600990,0.109240,0.787059,-0.217126,0.571915,0.079420
0.960934,0.010410,0.050227,-0.271982,0.940088,-0.066451,-0.202264,-0.266286,0.981712,-0.053313,0.105540,-0.149197,0.988637,-0.047087,-0.001621,-0.142748,0.960324,0.060071,-0.030651,-0.270609,0.864530,0.195822,0.275294,-0.372095,0.865057,0.263273,0.113040,-0.411807,0.986893,-0.010622,0.046107,-0.154283,0.959932,0.183671,0.153037,-0.146204,0.580630,0.350457,0.697986,-0.229921,0.607184,0.306887,0.729942,-0.065818,0.976809,-0.139463,0.068654,-0.147245,0.772987,-0.196810,0.590359,0.123423,0.790139,-0.231410,0.559261,0.096737
0.959664,0.016899,0.048656,-0.276391,0.937591,-0.076988,-0.197397,-0.275736,0.981208,-0.066421,0.098764,-0.151868,0.988382,-0.045585,0.000234,-0.144991,0.954534,0.108879,-0.008789,-0.277367,0.882950,0.206487,0.243634,-0.344101,0.873703,0.285943,0.101407,-0.380258,0.987713,-0.015179,0.040880,-0.150072,0.961008,0.177948,0.158330,-0.140460,0.580318,0.340952,0.704016,-0.226593,0.598460,0.301891,0.739177,-0.065763,0.977670,-0.142716,0.057647,-0.143075,0.775566,-0.210099,0.579394,0.136596,0.791685,-0.245892,0.547406,0.114540
0.958074,0.027068,0.045554,-0.281579,0.934856,-0.088380,-0.187872,-0.287988,0.980866,-0.081419,0.087104,-0.153902,0.988075,-0.044817,0.002265,-0.147292,0.946218,0.150283,0.018309,-0.285920,0.902752,0.212440,0.204295,-0.313324,0.884067,0.304557,0.086926,-0.343678,0.988345,-0.018961,0.035592,-0.146791,0.961895,0.172078,0.163783,-0.135361,0.581169,0.331515,0.708007,-0.225981,0.594350,0.292965,0.745535,-0.071395,0.978314,-0.146156,0.045632,-0.139495,0.778301,-0.223175,0.568017,0.147639,0.790767,-0.260871,0.537524,0.133050
0.955395,0.037319,0.044324,-0.289590,0.930972,-0.100361,-0.178231,-0.302412,0.980136,-0.096887,0.072752,-0.157017,0.987323,-0.046470,0.005755,-0.151661,0.938296,0.177539,0.028736,-0.295391,0.914518,0.224456,0.178829,-0.285126,0.888914,0.325332,0.082336,-0.311787,0.988702,-0.020657,0.030636,-0.145267,0.962387,0.166991,0.169218,-0.131497,0.581868,0.324192,0.709586,-0.229819,0.593490,0.280607,0.749837,-0.082302,0.978662,-0.149142,0.033398,-0.137336,0.782038,-0.234068,0.556478,0.154793,0.790566,-0.275134,0.526733,0.147849
0.952054,0.047605,0.044026,-0.298978,0.926332,-0.112519,-0.168168,-0.317755,0.978990,-0.112459,0.057594,-0.160045,0.986339,-0.049072,0.010412,-0.156905,0.931035,0.197737,0.030798,-0.305165,0.922701,0.237443,0.160653,-0.257748,0.891583,0.344962,0.083058,-0.281395,0.988922,-0.021322,0.025739,-0.144626,0.962692,0.162281,0.174523,-0.128185,0.582640,0.317838,0.709863,-0.235804,0.594199,0.266381,0.752858,-0.095774,0.978776,-0.151917,0.020945,-0.135938,0.786232,-0.243924,0.544768,0.159900,0.790537,-0.289177,0.515411,0.160558
0.949710,0.048087,0.045342,-0.306077,0.921416,-0.125439,-0.168843,-0.326725,0.976587,-0.126170,0.047158,-0.167737,0.984112,-0.055121,0.019336,-0.167663,0.928831,0.197532,0.028581,-0.312148,0.923811,0.237004,0.155876,-0.257109,0.887278,0.352566,0.109011,-0.276679,0.988779,-0.016289,0.022437,-0.146787,0.963497,0.156210,0.177104,-0.126118,0.583560,0.313041,0.708090,-0.245093,0.595299,0.256043,0.752864,-0.115141,0.978546,-0.153467,0.010073,-0.137094,0.793514,-0.247569,0.533263,0.157086,0.794689,-0.299186,0.502739,0.161897
0.947725,0.046032,0.046151,-0.312359,0.915963,-0.137565,-0.175157,-0.333778,0.974018,-0.139374,0.041447,-0.173627,0.981792,-0.061044,0.031115,-0.177171,0.927967,0.193118,0.022185,-0.317948,0.925628,0.234041,0.154574,-0.254055,0.894291,0.335486,0.120740,-0.270396,0.988448,-0.009658,0.020579,-0.149843,0.964475,0.149310,0.178724,-0.124707,0.584683,0.308252,0.705896,-0.254630,0.596178,0.247656,0.751745,-0.134601,0.978009,-0.155330,0.000882,-0.139174,0.801444,-0.249247,0.521964,0.152045,0.800660,-0.306068,0.489969,0.158732
0.946505,0.038906,0.045948,-0.317022,0.909643,-0.148161,-0.193060,-0.336638,0.971543,-0.151528,0.044743,-0.176471,0.979427,-0.067177,0.048452,-0.184016,0.929662,0.180226,0.007465,-0.321233,0.928771,0.225702,0.160521,-0.246326,0.921116,0.267980,0.103757,-0.262615,0.987747,0.000188,0.021572,-0.154566,0.965804,0.140729,0.178503,-0.124718,0.586099,0.303639,0.702972,-0.264803,0.596945,0.243406,0.748727,-0.154330,0.977071,-0.157786,-0.004962,-0.142869,0.810792,-0.247146,0.511034,0.142756,0.810512,-0.306642,0.476882,0.147050
