joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.243231,-0.139617,0.010121,0.328866,-0.286224,0.025108,0.195518,-0.268065,0.094280,0.434065,0.319843,-0.016304,-0.028729,-0.253725,-0.189707,0.228330,-0.329441,-0.136891,0.198688,-0.485897,0.594249,1.101848,1.177919,-0.116526,0.073336,0.010823,-0.009126,0.158433,-0.114461
-0.243785,-0.143622,0.005371,0.335996,-0.299384,0.021960,0.169255,-0.263395,0.095823,0.401577,0.332193,-0.016465,-0.026223,-0.232900,-0.193874,0.237488,-0.333796,-0.155251,0.208072,-0.486302,0.583492,1.107918,1.169616,-0.115565,0.080206,0.010257,-0.010579,0.152755,-0.116270
-0.243563,-0.147947,0.001252,0.337030,-0.315345,0.018129,0.138972,-0.257368,0.096599,0.372309,0.345382,-0.021185,-0.022743,-0.219779,-0.197098,0.247120,-0.339038,-0.170196,0.219120,-0.496240,0.580393,1.118988,1.161025,-0.116395,0.084159,0.011182,-0.014620,0.143938,-0.118804
-0.242905,-0.151139,-0.002646,0.336558,-0.331757,0.014151,0.108517,-0.251652,0.097303,0.344950,0.357081,-0.027857,-0.018637,-0.206533,-0.199352,0.257304,-0.344329,-0.185254,0.230189,-0.510316,0.578300,1.132501,1.152424,-0.113373,0.086713,0.011480,-0.017956,0.134060,-0.121151
-0.241375,-0.152067,-0.006101,0.333073,-0.349073,0.009880,0.077719,-0.246556,0.097860,0.321413,0.365802,-0.038433,-0.013278,-0.193035,-0.199666,0.268590,-0.349719,-0.200535,0.241296,-0.532668,0.578219,1.150898,1.143802,-0.102645,0.086470,0.010525,-0.019882,0.122057,-0.123121
-0.242201,-0.150145,-0.009878,0.326963,-0.366072,0.005767,0.047544,-0.243305,0.097650,0.305138,0.368011,-0.052964,-0.007473,-0.178845,-0.195573,0.281083,-0.354486,-0.215331,0.251719,-0.561984,0.578003,1.171125,1.136952,-0.091355,0.085431,0.009176,-0.020924,0.107002,-0.124734
-0.244205,-0.146799,-0.013816,0.319541,-0.382910,0.001732,0.017682,-0.240978,0.097057,0.292495,0.366964,-0.069473,-0.001444,-0.164308,-0.189278,0.294180,-0.358941,-0.229885,0.261800,-0.594781,0.577718,1.192266,1.130987,-0.079784,0.083993,0.007629,-0.021524,0.090422,-0.126168
-0.251259,-0.139906,-0.017146,0.312005,-0.395479,0.000450,-0.000712,-0.240786,0.095274,0.295091,0.352030,-0.086185,0.003042,-0.147652,-0.172857,0.306383,-0.362839,-0.242705,0.261800,-0.620557,0.575842,1.208654,1.129112,-0.069266,0.081840,0.015687,-0.021469,0.071438,-0.125037
-0.257378,-0.133083,-0.020153,0.302971,-0.409531,-0.001441,-0.007127,-0.239500,0.093591,0.299821,0.334296,-0.102156,0.006647,-0.132207,-0.153339,0.317592,-0.367075,-0.253361,0.261800,-0.640425,0.573409,1.222009,1.127606,-0.060600,0.079241,0.026279,-0.021009,0.053877,-0.123621
-0.261629,-0.126400,-0.022514,0.290943,-0.426550,-0.004552,0.010415,-0.236028,0.092106,0.308818,0.310961,-0.116647,0.008489,-0.119182,-0.127626,0.326812,-0.371990,-0.259690,0.261800,-0.648480,0.569863,1.229298,1.126841,-0.055636,0.075751,0.041938,-0.019740,0.039161,-0.121632
-0.274265,-0.127119,-0.023965,0.269564,-0.450458,-0.013326,0.027254,-0.226290,0.091173,0.337216,0.288513,-0.129266,0.006420,-0.136435,-0.096679,0.335192,-0.377841,-0.261800,0.261800,-0.644750,0.566434,1.228073,1.125181,-0.054032,0.070593,0.056169,-0.018896,0.030154,-0.119684
-0.291094,-0.131538,-0.024961,0.243511,-0.477810,-0.024932,0.043742,-0.213419,0.090517,0.375315,0.266510,-0.140948,0.002396,-0.168826,-0.063117,0.343150,-0.384160,-0.261800,0.261800,-0.635127,0.563065,1.222589,1.123075,-0.054108,0.064602,0.069686,-0.018265,0.024001,-0.117758
