joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.027682,-0.200224,-0.237481,0.356494,-0.658003,-0.157431,-1.313171,0.233532,0.077175,-1.624411,0.617500,-0.008052,0.125319,1.041254,-0.208352,0.457886,-0.217729,-0.917981,0.469184,-0.020216,-0.537842,0.303483,-0.415181,0.048054,0.343484,-0.028259,-0.072667,-0.283939,-0.090443
0.011093,-0.216247,-0.205971,0.051687,-0.798020,-0.191541,-1.514147,0.301315,0.038807,-1.463425,0.659442,-0.236017,0.173985,0.656025,-0.161220,0.481638,-0.262104,-0.747276,0.552436,-0.496920,-0.154980,0.553511,-0.429525,-0.041514,0.197655,0.046208,-0.202031,-0.440821,-0.126711
0.032895,-0.159627,-0.194897,-0.023615,-0.820621,-0.198875,-1.522734,0.285814,0.035163,-1.367910,0.584971,-0.333610,0.205306,0.662315,-0.112698,0.509191,-0.264567,-0.752871,0.553415,-0.703815,-0.104658,0.675626,-0.430055,0.151121,0.127716,0.014898,-0.166792,-0.493927,-0.117318
0.076500,-0.046387,-0.172748,-0.174218,-0.865823,-0.213543,-1.539908,0.254812,0.027876,-1.176880,0.436029,-0.528795,0.267947,0.674893,-0.015654,0.564297,-0.269494,-0.764060,0.555371,-1.117605,-0.004014,0.919855,-0.431113,0.536390,-0.012162,-0.047723,-0.096316,-0.600137,-0.098533
-0.041301,0.096087,-0.188846,-0.305491,-0.849904,-0.205672,-1.508731,0.162518,-0.010486,-0.813742,0.110446,-0.726554,0.290282,0.709524,0.204618,0.624657,-0.238335,-0.739818,0.521155,-1.465776,-0.010825,1.011333,-0.342515,0.564495,-0.051963,-0.067472,-0.052113,-0.752720,-0.080635
-0.100202,0.167324,-0.196894,-0.371127,-0.841945,-0.201736,-1.493143,0.116372,-0.029666,-0.632173,-0.052346,-0.825434,0.301450,0.726839,0.314754,0.654836,-0.222756,-0.727697,0.504046,-1.639861,-0.014230,1.057073,-0.298215,0.578548,-0.071864,-0.077347,-0.030011,-0.829011,-0.071686
-0.352691,0.344645,-0.166517,-0.376810,-0.628444,-0.064097,-0.919689,0.009608,-0.089146,0.129841,-0.746678,-0.835587,0.224287,0.832791,0.821051,0.610138,-0.194880,-0.640967,0.000000,-1.288780,-0.093806,0.819411,-0.093777,0.525902,-0.107673,0.402939,0.002764,-0.949200,0.056528
-0.305975,0.341145,-0.150360,-0.451678,-0.702607,-0.094575,-0.320760,0.064274,-0.084178,0.236500,-0.886708,-0.798571,0.180225,0.772274,0.975917,0.560438,-0.211830,-0.532804,0.000000,-0.993435,-0.121644,0.667759,-0.075278,0.433328,-0.129951,0.529598,0.022995,-0.878067,0.070835
-0.212542,0.334144,-0.118044,-0.601413,-0.850932,-0.155531,0.877098,0.173606,-0.074243,0.449816,-1.166767,-0.724540,0.092099,0.651239,1.285651,0.461038,-0.245728,-0.316477,0.000000,-0.402744,-0.177321,0.364455,-0.038280,0.248180,-0.174508,0.782914,0.063458,-0.735802,0.099450
-0.631806,-0.035940,-0.072552,-1.068920,-1.195380,-0.438713,0.841978,0.486911,-0.046622,1.419900,-1.122369,-0.630941,-0.103433,-0.862642,1.547312,0.418970,-0.292540,-0.105492,0.000000,0.186519,-0.171428,-0.061299,-0.082977,0.080192,-0.257885,0.711558,0.042196,-0.450362,0.097367
